Temp (°C),Dew Point Temp (°C),Rel Hum (%),Wind Dir (10s deg),Wind Spd (km/h),Visibility (km),Stn Press (kPa),Weather
10.6,3.4,61,27,19,32.2,101.92,NA
9.9,4.7,70,30,21,32.2,101.92,Mainly Clear
9.6,4.7,72,29,17,32.2,101.9,NA
9.3,4.8,74,33,13,32.2,101.92,NA
8.9,5.4,79,31,20,32.2,101.91,Mainly Clear
8.2,5,80,30,20,32.2,101.92,NA
6.6,3.3,79,34,8,32.2,101.94,NA
7.8,4.1,77,5,7,32.2,101.93,Mostly Cloudy
7.1,4.6,84,33,5,32.2,101.95,NA
8.6,4.3,74,3,7,32.2,101.99,NA
9.5,4.6,71,18,4,32.2,102,Mostly Cloudy
10.6,5.1,69,26,9,48.3,101.99,NA
11.7,6,68,29,17,48.3,101.99,NA
10.5,5.1,69,29,23,48.3,101.98,Mostly Cloudy
11.3,6,70,29,28,48.3,101.97,NA
12.6,6.7,67,29,27,40.2,101.93,NA
13.4,6.7,63,29,25,48.3,101.87,Mostly Cloudy
13.8,6.5,61,29,27,48.3,101.81,NA
14,5.6,57,29,29,48.3,101.75,NA
12.3,5.5,63,29,28,48.3,101.69,Mostly Cloudy
13.9,5.8,58,28,28,48.3,101.68,NA
13.9,6.5,60,28,30,32.2,101.66,NA
12.9,4.7,57,28,28,32.2,101.67,Mostly Cloudy
11.9,6.7,70,28,23,32.2,101.67,NA
11.4,7.3,76,29,20,24.1,101.66,NA
9.8,5.3,74,9,18,24.1,101.72,Mainly Clear
9.5,4.8,73,6,13,24.1,101.73,NA
8.7,4.5,75,8,14,24.1,101.73,NA
8.5,3.7,72,7,7,24.1,101.73,Mainly Clear
7.9,3.6,74,8,5,24.1,101.76,NA
7.4,3.9,79,11,8,24.1,101.79,NA
6.4,3.8,84,8,7,24.1,101.79,Mainly Clear
6.4,4,85,10,7,32.2,101.84,NA
7.8,5.2,84,9,8,48.3,101.86,NA
10.7,5.4,70,16,3,48.3,101.89,Mainly Clear
11.8,6.8,71,22,7,48.3,101.9,NA
12.1,7.1,71,22,14,48.3,101.91,NA
12.9,8.5,74,25,14,48.3,101.89,Clear
13.9,9.1,73,29,16,48.3,101.89,NA
14.2,8.9,70,27,12,48.3,101.87,NA
13.9,8.3,69,26,13,48.3,101.85,Mainly Clear
14.4,10.1,75,26,14,48.3,101.82,NA
14.9,9.9,71,24,11,48.3,101.8,NA
15.3,7.2,58,24,8,48.3,101.78,Mainly Clear
14.4,8.5,67,21,10,48.3,101.78,NA
15.6,7.3,57,21,16,32.2,101.74,NA
14.4,7.7,64,18,13,32.2,101.76,Clear
13,6.8,65,14,10,32.2,101.81,NA
12.3,8.7,79,9,12,32.2,101.84,NA
12.3,8.2,76,8,11,24.1,101.85,Clear
10.4,6.7,77,8,10,24.1,101.89,NA
10.4,6.8,78,8,10,24.1,101.94,NA
10.2,6.8,79,9,15,24.1,102,Clear
9.3,5.6,78,10,14,24.1,102.02,NA
9.6,6.1,79,9,14,24.1,102.06,NA
8.8,5.3,78,8,8,32.2,102.11,Mainly Clear
8.9,5.7,80,8,9,32.2,102.13,NA
10.3,6.8,79,10,15,48.3,102.18,NA
11.6,7.3,74,11,14,32.2,102.23,Mainly Clear
12.6,8.3,75,8,9,48.3,102.23,NA
13.2,8.6,73,14,7,48.3,102.24,NA
14.5,8.5,67,16,15,48.3,102.23,Mainly Clear
14.8,7.8,63,16,11,48.3,102.22,NA
14.3,9.4,72,22,18,48.3,102.17,NA
14.8,9.8,72,23,19,48.3,102.13,Clear
14.8,11,78,23,15,48.3,102.09,NA
15.3,8,61,25,9,48.3,102.07,NA
15.7,7.7,59,24,10,48.3,102.02,Mainly Clear
16,8.1,59,25,10,48.3,101.98,NA
16,9,63,28,10,32.2,101.96,NA
15.1,9.2,67,28,9,32.2,101.94,Mainly Clear
13.1,9,76,17,4,24.1,101.97,NA
13.8,8.1,68,13,6,24.1,102.02,NA
11.8,8.7,81,10,11,24.1,102.06,Clear
11.8,9.6,87,10,18,24.1,102.09,NA
10.9,9,88,11,7,24.1,102.09,NA
11.2,9.1,87,10,5,24.1,102.11,Clear
9.6,7.9,89,10,9,24.1,102.11,NA
8.7,7.2,90,9,10,24.1,102.13,NA
9.5,7.4,87,7,7,32.2,102.1,Mainly Clear
8.7,7,89,10,10,32.2,102.13,NA
11.1,8.9,86,11,10,32.2,102.14,NA
12.1,9.5,84,12,12,32.2,102.14,Clear
13.5,9.7,77,14,13,32.2,102.11,NA
14.4,10,75,16,11,48.3,102.05,NA
15,9.6,70,13,11,48.3,101.99,Clear
14.6,11.5,81,23,16,48.3,101.9,NA
14.9,12,83,23,14,48.3,101.79,NA
15.1,11.5,79,22,17,48.3,101.72,Mainly Clear
15.6,10.6,72,22,15,48.3,101.65,NA
15.7,10.9,73,23,15,48.3,101.57,NA
16.1,9.8,66,23,12,48.3,101.53,Mostly Cloudy
16.2,10,66,22,10,48.3,101.49,NA
17,9.8,62,22,3,32.2,101.45,NA
16.7,9.1,61,14,16,32.2,101.45,Mostly Cloudy
14.6,9.9,73,11,20,32.2,101.51,NA
12.5,9,79,11,23,24.1,101.58,NA
12.3,9.5,83,9,26,24.1,101.61,Mostly Cloudy
13,8.2,73,8,23,24.1,101.61,NA
13.2,8.2,71,8,22,24.1,101.6,NA
12.9,8.5,74,10,21,24.1,101.58,Mostly Cloudy
12.7,8.2,74,9,21,24.1,101.57,NA
12.2,8.7,79,9,19,24.1,101.57,NA
12,9.2,83,10,15,24.1,101.56,Cloudy
12.2,9.3,82,10,18,24.1,101.6,NA
12.4,9.7,83,9,18,32.2,101.64,NA
13.2,9.8,80,10,22,32.2,101.67,Mostly Cloudy
13.3,10.4,82,12,17,32.2,101.71,NA
13.2,10.1,81,12,17,32.2,101.7,NA
13.4,10,80,11,14,32.2,101.72,Cloudy
14.9,10.4,74,11,17,32.2,101.7,NA
14.1,10.2,77,12,16,32.2,101.72,NA
15.5,10.4,71,13,13,32.2,101.68,Cloudy
14.8,10.6,76,15,10,32.2,101.68,NA
14.9,10.8,76,19,11,32.2,101.65,NA
14.5,10.6,77,20,16,32.2,101.6,Mostly Cloudy
14.4,10.9,79,17,6,32.2,101.59,NA
15.1,10.7,75,15,10,32.2,101.55,NA
14.5,10.6,77,10,15,32.2,101.54,Mostly Cloudy
13.3,10,80,12,13,32.2,101.5,NA
13.2,10.4,83,10,17,32.2,101.51,NA
13,10,82,11,22,32.2,101.5,Cloudy
12.4,10,86,10,19,32.2,101.5,NA
12,9.9,87,10,20,32.2,101.51,NA
11.5,9.9,90,10,23,32.2,101.51,Rain
11.2,10.1,93,10,19,32.2,101.51,Rain
10.9,9.9,93,10,23,32.2,101.52,NA
10.7,9.7,93,10,21,24.1,101.52,Cloudy
10.6,10.1,96,9,16,12.9,101.53,Rain
10.6,10.1,97,9,18,12.9,101.55,Rain
10.8,10.3,97,8,16,9.7,101.56,Rain
11,10.7,98,9,17,2,101.58,Rain
11.3,10.6,95,10,15,4,101.62,Rain Showers
11.4,10.7,96,12,16,4,101.65,Rain
11.8,10.8,94,13,14,4.8,101.68,Rain
12.3,11.3,94,12,14,9.7,101.7,Rain
12.5,11.5,94,14,14,9.7,101.72,Rain
12.6,11.9,96,14,14,3.2,101.72,Rain
12.5,11.9,96,13,15,4,101.71,Rain
13.1,12.2,94,10,13,9.7,101.69,Rain
13.4,12.3,93,10,10,9.7,101.67,Rain
13.1,12,93,10,15,24.1,101.66,NA
13.2,11.6,90,13,8,32.2,101.66,Cloudy
12.8,11.6,92,9,9,32.2,101.66,NA
12.8,11.4,91,6,8,32.2,101.7,NA
12.9,11.6,92,6,10,32.2,101.71,Cloudy
12.8,11.7,93,8,7,32.2,101.72,NA
12.2,11.6,96,4,3,32.2,101.71,NA
11.8,11.1,95,12,4,32.2,101.7,Cloudy
12.5,11.7,95,7,5,32.2,101.7,NA
12.5,10.9,89,9,4,32.2,101.69,NA
12.4,11.3,93,13,4,32.2,101.7,Mostly Cloudy
12.3,10.5,89,6,9,32.2,101.73,NA
12.5,10.8,89,1,3,32.2,101.76,NA
13.3,11.1,87,36,2,32.2,101.8,Mostly Cloudy
13.4,11.1,86,24,7,40.2,101.83,NA
14.7,11.1,79,26,9,40.2,101.85,NA
16.5,13.5,82,26,14,40.2,101.85,Mostly Cloudy
16.6,12.6,77,25,10,40.2,101.84,NA
16.6,12.9,78,25,11,40.2,101.83,NA
16.6,11.9,73,25,15,40.2,101.83,Mainly Clear
16.7,10.6,67,24,12,40.2,101.83,NA
17.6,10.8,64,22,17,40.2,101.81,NA
17.8,12.4,70,22,13,40.2,101.81,Mainly Clear
17,11.2,68,20,18,40.2,101.81,NA
16.9,11,68,18,16,32.2,101.81,NA
16.2,9.7,65,16,20,32.2,101.83,Mostly Cloudy
15.6,9.4,67,13,13,32.2,101.84,NA
14.4,10.2,76,9,16,32.2,101.9,NA
13.2,8.6,74,17,12,32.2,101.94,Mostly Cloudy
13.1,7.3,67,13,11,32.2,101.99,NA
13.1,8.4,73,11,12,32.2,101.99,NA
12.7,8.3,74,11,11,32.2,102.02,Cloudy
12.3,6.6,68,14,16,32.2,102.04,NA
11.8,7.1,72,13,13,32.2,102.09,NA
11.8,6.3,69,14,12,32.2,102.07,Cloudy
11.8,6.8,71,14,14,32.2,102.07,NA
11.8,6.2,68,15,14,32.2,102.08,NA
11.9,5.9,66,16,12,32.2,102.08,Cloudy
12,5.4,64,18,9,32.2,102.08,NA
11.7,6.6,71,19,10,48.3,102.06,NA
13.8,7.8,66,10,15,48.3,102.03,Cloudy
14.6,7.3,61,13,20,32.2,102.01,NA
14.9,7,59,17,19,48.3,101.97,NA
15.2,6.1,54,16,14,48.3,101.94,Cloudy
14.6,5.6,55,15,18,48.3,101.89,NA
15.2,6.3,55,18,12,48.3,101.84,NA
14.7,5.8,55,6,6,48.3,101.78,Cloudy
14.5,6.1,57,9,9,48.3,101.66,NA
14.4,5.9,56,9,14,48.3,101.56,Rain
14.1,6.3,59,11,10,32.2,101.5,Cloudy
14.2,6.3,59,3,11,24.1,101.45,NA
14.1,6.7,61,4,10,24.1,101.38,NA
13.7,7.7,67,6,13,24.1,101.3,Cloudy
13.2,8.3,72,5,22,24.1,101.16,Rain
12.2,9.4,83,6,16,24.1,101.1,Rain
12,9.5,85,5,17,24.1,101.01,Rain
11.9,10.3,89,5,15,24.1,100.9,Rain
11.7,10.5,92,10,16,24.1,100.85,Rain
11.7,10.8,95,9,16,16.1,100.87,Moderate Rain
11.7,10.8,95,10,21,19.3,100.87,NA
12,9.8,87,12,27,32.2,100.87,NA
11.6,9.6,88,14,25,32.2,100.86,Mostly Cloudy
12.1,10,87,14,21,48.3,100.87,NA
12.6,9.7,82,13,19,32.2,100.9,NA
13.2,9.5,78,12,17,32.2,100.95,Cloudy
12.6,10.1,85,14,18,32.2,101.02,Rain
13.3,10.1,81,12,16,32.2,101.03,Rain
13.4,10.5,82,13,10,48.3,101.07,Rain
12.9,9.6,80,14,10,32.2,101.12,Rain
12.5,9.3,81,12,10,17.7,101.14,Rain
12.3,9.5,83,14,21,32.2,101.18,Mostly Cloudy
12.9,9.2,78,18,21,32.2,101.2,NA
13.2,9.5,78,21,21,32.2,101.28,NA
13.1,8.8,75,21,26,32.2,101.38,Mostly Cloudy
12.2,7.7,74,21,31,32.2,101.45,NA
12.2,8.2,76,21,25,24.1,101.54,NA
12.1,7.9,75,21,23,24.1,101.6,Mostly Cloudy
12,8.6,80,22,20,24.1,101.66,NA
11.6,7,73,25,25,24.1,101.74,NA
10.2,8.6,90,31,16,24.1,101.85,Rain
10.8,8.9,88,27,26,24.1,101.91,NA
10.6,8.5,87,27,26,24.1,101.98,NA
10.7,8.9,89,27,22,24.1,102.04,Cloudy
10.9,9,87,28,20,24.1,102.11,NA
11.3,8.1,81,28,24,32.2,102.18,NA
11.9,8.3,79,27,26,32.2,102.25,Mostly Cloudy
12.1,8.8,81,26,21,48.3,102.31,NA
12.4,9.1,80,24,23,48.3,102.35,NA
13.1,9.5,79,24,21,48.3,102.38,Mostly Cloudy
13.8,8.5,70,25,22,48.3,102.41,NA
14.2,9,71,25,19,48.3,102.43,NA
15.5,4,46,22,19,48.3,102.45,Mostly Cloudy
16.4,8.2,58,20,15,48.3,102.45,NA
15.9,7,55,21,18,48.3,102.45,NA
16.2,6.5,52,18,8,48.3,102.43,Mainly Clear
16.4,6.6,52,20,8,48.3,102.4,NA
16.1,6.6,53,17,12,32.2,102.38,NA
14.7,5.8,55,17,10,32.2,102.38,Mainly Clear
12.4,5.7,63,14,10,32.2,102.38,NA
10.9,6,71,10,15,24.1,102.39,NA
11,6.9,76,8,13,24.1,102.39,Clear
10.9,6.3,73,8,9,24.1,102.36,NA
10.8,7.2,78,6,11,24.1,102.34,NA
9.8,6.8,82,8,8,24.1,102.34,Clear
8.2,6.2,87,11,8,24.1,102.33,NA
7.7,6.6,93,36,3,24.1,102.34,NA
8.1,5.3,83,12,4,32.2,102.28,Clear
8.3,7.1,92,13,6,32.2,102.27,NA
10.7,7.8,82,15,9,40.2,102.27,NA
12.2,8.7,79,23,9,40.2,102.26,Mainly Clear
13.7,8.7,71,29,10,40.2,102.25,NA
13.6,9.9,78,25,18,40.2,102.22,NA
14,10.1,77,28,13,40.2,102.19,Mainly Clear
14.3,9.8,74,25,14,40.2,102.17,NA
15.9,12.4,80,27,9,40.2,102.14,NA
15.8,10.2,69,26,17,40.2,102.11,Mainly Clear
17.4,9.7,60,31,10,40.2,102.03,NA
17.5,11.5,67,26,16,40.2,102.01,NA
18.1,11.1,63,28,14,40.2,101.94,Mainly Clear
17.6,10.5,63,27,11,40.2,101.89,NA
16.9,11.2,69,28,9,32.2,101.84,NA
15.5,11,74,27,13,32.2,101.83,Mostly Cloudy
13.2,11.7,91,27,8,32.2,101.83,NA
13.7,12.4,92,23,3,32.2,101.85,NA
11,10.6,98,27,7,32.2,101.87,Mainly Clear
12.3,9.5,83,2,6,32.2,101.88,NA
11.5,10,91,13,5,32.2,101.9,NA
11.8,10.5,92,20,3,32.2,101.93,Mainly Clear
11.7,7.1,73,8,6,32.2,101.92,NA
10.9,8.8,86,11,9,32.2,101.94,NA
11.5,9.2,86,7,9,32.2,101.93,Mostly Cloudy
11.2,7,75,10,8,32.2,101.98,NA
13,8.4,74,10,6,32.2,102.01,NA
13.8,8.5,70,11,7,32.2,102.07,Cloudy
15.1,8.6,65,15,4,40.2,102.12,NA
14.9,9.8,71,27,7,32.2,102.16,NA
14.5,10.8,78,28,15,24.1,102.24,Rain
14.3,11.5,83,29,17,24.1,102.26,Rain
16.4,12.7,78,30,14,24.1,102.24,Rain Showers
17.4,11.7,69,29,11,32.2,102.19,Cloudy
18.1,11.7,66,27,10,40.2,102.18,NA
18.2,12.6,70,28,21,40.2,102.14,NA
17.1,12.3,73,29,23,40.2,102.14,Mostly Cloudy
16.6,11.4,71,28,17,40.2,102.1,NA
16.5,12,75,29,13,40.2,102.06,NA
15.7,12.1,79,28,16,40.2,102.07,Mostly Cloudy
14.7,13.3,91,31,14,40.2,102.07,NA
14.2,13,92,29,12,32.2,102.08,NA
14.3,13.2,93,32,12,32.2,102.1,Mainly Clear
13.7,12.6,93,28,11,32.2,102.1,NA
14.4,13.3,93,31,11,32.2,102.11,NA
13.2,12.4,95,31,13,32.2,102.15,Mainly Clear
12.6,11.3,92,33,6,32.2,102.14,NA
12.1,11.3,94,9,4,32.2,102.15,NA
13.2,10.6,84,12,4,32.2,102.14,Mostly Cloudy
12.9,11.4,90,18,3,32.2,102.19,NA
14.2,11.6,84,10,9,40.2,102.16,NA
16.3,12.1,76,9,3,40.2,102.23,Mostly Cloudy
17,11,67,12,9,40.2,102.23,NA
16.7,12.9,78,26,12,40.2,102.23,NA
17.1,13.1,77,31,10,40.2,102.24,Mostly Cloudy
18.1,13.3,73,29,10,40.2,102.27,NA
18.5,12.5,68,26,10,40.2,102.25,NA
19.2,13.2,68,26,11,40.2,102.24,Mostly Cloudy
19.5,13.1,66,29,14,40.2,102.23,NA
20,12.7,62,30,18,40.2,102.27,NA
20.3,11.8,58,27,13,40.2,102.21,Mostly Cloudy
18.7,13.6,72,24,14,40.2,102.15,NA
19.5,15.1,75,29,14,40.2,102.11,NA
17.4,14,80,27,14,40.2,102.08,Mostly Cloudy
16.1,14.1,88,28,7,40.2,102.09,NA
15.5,14,91,26,10,32.2,102.09,NA
14.7,13,89,30,9,32.2,102.09,Mainly Clear
13.4,12.3,93,32,4,32.2,102.07,NA
14.8,13.4,91,36,2,32.2,102.06,NA
13.8,12.9,94,33,4,32.2,102.04,Mainly Clear
14.4,12.5,88,36,2,32.2,102.03,NA
13.8,11.9,88,36,2,32.2,102,NA
13.4,11.8,90,14,3,32.2,101.98,Mainly Clear
12.1,11.1,94,33,5,32.2,101.97,NA
15.7,14,90,0,0,40.2,101.96,NA
18.1,13.5,74,30,9,40.2,101.94,Mainly Clear
18.5,13.7,73,30,16,40.2,101.92,NA
18.7,14,74,24,14,40.2,101.88,NA
19.6,13.8,69,26,11,40.2,101.82,Clear
19.1,15.1,77,24,12,40.2,101.77,NA
20.4,14.2,68,26,10,40.2,101.69,NA
20.6,15.7,73,25,12,40.2,101.61,Clear
21.8,16.3,71,27,11,40.2,101.54,NA
22.9,16.7,68,27,11,40.2,101.44,NA
22.5,15.6,65,26,13,40.2,101.36,Clear
22.8,16,65,27,10,40.2,101.28,NA
22.3,15.7,66,30,12,32.2,101.2,NA
21,16.6,76,29,8,32.2,101.14,Clear
18.5,17.1,91,26,3,32.2,101.1,NA
17,16.4,97,27,5,32.2,101.09,NA
17.5,16,91,20,6,32.2,101.06,Clear
16.3,15.8,96,36,3,32.2,101.08,NA
15.9,14.9,94,17,4,32.2,101.11,NA
16.9,15.4,91,7,9,32.2,101.08,Clear
15.2,13.9,92,9,9,32.2,101.09,NA
15.7,14.2,91,11,6,32.2,101.1,NA
14.4,13.8,96,33,7,32.2,101.15,Clear
14.9,13,88,36,2,32.2,101.18,NA
17.6,15.8,89,32,4,48.3,101.22,NA
19.9,14.8,72,36,3,48.3,101.24,Mainly Clear
20.8,14.1,65,21,13,48.3,101.25,NA
18.2,14.6,79,23,16,48.3,101.31,NA
20.8,15.8,73,23,14,48.3,101.31,Mainly Clear
25.1,15.8,56,12,11,48.3,101.29,NA
25.3,14.7,51,13,18,48.3,101.26,NA
25.8,13.8,47,15,17,48.3,101.24,Mainly Clear
26.7,14,45,12,10,48.3,101.2,NA
27.6,13.1,40,15,13,48.3,101.15,NA
28.1,14.5,43,14,13,48.3,101.09,Mainly Clear
27.5,14,43,9,11,48.3,101.06,NA
26.4,13.8,45,13,10,32.2,101.05,NA
23.1,14,56,9,18,32.2,101.05,Mainly Clear
19.1,15.2,78,28,12,32.2,101.08,NA
18.5,14.4,77,29,11,24.1,101.11,NA
18.3,15.1,81,26,8,24.1,101.11,Mainly Clear
19.2,14.9,76,18,5,24.1,101.16,NA
17.8,15.2,84,31,4,24.1,101.22,NA
16.5,13.1,80,10,13,24.1,101.21,Mostly Cloudy
15.4,13.3,87,10,11,24.1,101.24,NA
14.7,12.5,87,9,18,24.1,101.26,NA
14.8,12.6,86,9,16,32.2,101.28,Mostly Cloudy
14.8,12.8,88,10,13,32.2,101.33,NA
15.2,12.9,86,11,13,48.3,101.38,Rain
15.4,12.2,81,11,16,48.3,101.45,Mostly Cloudy
16.1,12.3,78,9,19,48.3,101.43,NA
18.8,12.7,67,13,17,48.3,101.41,NA
20.3,13.5,64,14,15,48.3,101.42,Mostly Cloudy
19.1,13.6,70,22,15,48.3,101.46,NA
20,15,72,21,13,48.3,101.4,NA
19.6,15.2,75,22,15,48.3,101.38,Mostly Cloudy
19.7,15.8,78,24,13,48.3,101.36,NA
19.8,16,78,23,18,48.3,101.29,NA
20.8,15.6,72,23,16,48.3,101.27,Mainly Clear
21.4,15,66,22,15,48.3,101.22,NA
19.9,15.2,74,25,14,48.3,101.18,NA
19.9,13.9,68,29,7,48.3,101.17,Clear
18,10.8,63,10,16,32.2,101.17,NA
16,8.8,62,9,20,24.1,101.21,NA
15.4,8.8,65,11,20,24.1,101.25,Clear
14.1,9.5,74,11,23,24.1,101.28,NA
13.3,8.5,72,11,20,24.1,101.32,NA
12.7,8.2,74,10,23,24.1,101.35,Clear
12.2,8.5,78,11,24,24.1,101.39,NA
11.7,8.4,80,10,23,24.1,101.43,NA
11.1,8.2,82,10,24,32.2,101.46,Mainly Clear
11.6,8,78,9,25,32.2,101.49,NA
13,8.5,74,10,23,48.3,101.57,NA
12.8,8.1,73,11,26,48.3,101.59,Mostly Cloudy
13.6,7.8,68,11,27,48.3,101.65,NA
14.8,8,64,11,23,48.3,101.72,NA
15.8,8.2,61,10,19,48.3,101.74,Mostly Cloudy
17.9,9.5,57,11,20,48.3,101.72,NA
16.7,9.4,62,12,15,48.3,101.74,Rain
16.8,8.7,58,15,13,48.3,101.74,Rain
15.8,10,68,18,17,48.3,101.73,NA
16.1,8.1,59,13,8,48.3,101.71,NA
16.6,8.2,57,10,12,40.2,101.67,Cloudy
16.1,11.7,75,8,14,48.3,101.6,NA
15.7,9.6,66,7,19,32.2,101.52,NA
14.1,8.6,69,12,10,11.3,101.52,Rain
13.2,11.1,87,1,11,19.3,101.45,Rain
13.4,9.5,77,5,10,24.1,101.43,NA
13.2,10.7,85,8,9,24.1,101.39,Cloudy
12.7,11.1,90,2,5,24.1,101.34,Rain
12.6,10.7,88,3,5,24.1,101.29,Rain
12.4,10.4,87,11,9,24.1,101.23,Cloudy
11.2,10.1,93,13,9,24.1,101.18,NA
11.4,10.3,93,13,14,24.1,101.17,NA
10.7,10.1,96,11,12,24.1,101.14,Mostly Cloudy
11.2,10.6,96,10,14,24.1,101.12,NA
11.9,10.6,91,12,13,32.2,101.15,NA
12.7,10.1,84,13,14,32.2,101.13,Mostly Cloudy
13.8,9.6,76,16,10,48.3,101.18,NA
14.6,8.4,66,20,17,48.3,101.2,NA
15.1,8.2,63,20,21,48.3,101.21,Mostly Cloudy
16.4,8.8,60,21,21,48.3,101.26,NA
16.4,7.9,57,21,20,48.3,101.29,NA
16.8,8,56,30,17,48.3,101.33,Rain Showers
15.8,8.5,61,26,13,48.3,101.35,NA
15.2,8.7,65,26,12,48.3,101.39,NA
15.2,8.3,63,25,16,48.3,101.43,Mostly Cloudy
15.6,8.6,62,23,15,48.3,101.41,NA
14.3,7.4,63,21,14,48.3,101.44,NA
14.3,5.4,55,24,27,32.2,101.45,Mainly Clear
13.5,5.7,59,26,15,32.2,101.5,NA
13.3,5,57,25,30,24.1,101.51,NA
12.8,4.8,58,26,30,24.1,101.55,Mostly Cloudy
12.3,4.6,59,25,23,24.1,101.57,NA
12.3,4.7,59,24,23,24.1,101.59,NA
11.8,6.1,68,20,17,24.1,101.59,Mostly Cloudy
11.8,4.8,62,22,12,24.1,101.56,NA
11,5.2,67,12,7,24.1,101.52,NA
9.7,5.3,74,9,17,24.1,101.49,Mostly Cloudy
9.8,6.2,78,9,14,32.2,101.49,NA
10.5,6.5,76,9,17,32.2,101.47,NA
11.1,6.7,74,10,19,32.2,101.44,Mostly Cloudy
12.1,5.5,64,9,21,32.2,101.4,NA
11.7,6.2,69,17,20,24.1,101.37,NA
11.7,6.7,71,13,17,32.2,101.32,Cloudy
11,7.9,81,14,18,32.2,101.28,Rain
11.2,6.8,75,11,20,32.2,101.22,Rain
11.8,6.5,70,11,24,32.2,101.19,Cloudy
11.9,8.7,81,9,21,32.2,101.16,Rain
11.7,8.6,81,9,19,32.2,101.11,Rain Showers
11,8,81,9,19,32.2,101.09,Rain
11.1,8.1,82,7,19,32.2,101.07,Rain
10,8.1,88,11,18,16.1,101.05,Moderate Rain
10.1,8.2,88,7,18,24.1,101,Rain
10.1,7.8,86,8,16,32.2,100.98,NA
9.9,7.3,84,7,16,24.1,100.99,Rain
9.5,7.8,90,5,17,32.2,100.98,Cloudy
9.5,8.1,91,7,6,32.2,101.01,NA
9.6,7.9,89,8,14,32.2,101.02,NA
9.4,7.9,90,4,12,24.1,101.04,Rain
9.4,8.3,93,6,8,19.3,101.08,Rain Showers
9.2,8,93,8,22,19.3,101.14,Moderate Rain
9,7.7,92,9,15,24.1,101.17,Mostly Cloudy
8.5,7,90,12,13,32.2,101.23,NA
8.8,7.2,90,9,13,32.2,101.28,NA
9.7,7.5,86,11,13,32.2,101.34,Mostly Cloudy
10.3,7,80,11,11,32.2,101.38,Rain
11.3,7.5,77,14,9,40.2,101.4,NA
12.3,6.5,68,9,8,40.2,101.4,Mostly Cloudy
13.4,6.4,62,15,13,40.2,101.43,NA
13.9,5,54,15,11,40.2,101.43,NA
14.8,9.2,69,22,16,40.2,101.4,Mainly Clear
15.2,7.5,60,22,22,40.2,101.37,NA
15.2,5,50,21,19,40.2,101.38,NA
14.7,6.7,59,22,19,40.2,101.36,Mainly Clear
14.5,6.8,60,22,17,40.2,101.34,NA
14.2,6.4,59,21,14,40.2,101.32,NA
13.5,5.4,58,21,9,40.2,101.33,Mainly Clear
10.6,5.7,71,25,8,40.2,101.32,NA
10.8,6,72,28,4,32.2,101.33,NA
11.4,5.7,68,4,5,32.2,101.35,Mainly Clear
10.6,5.7,71,5,8,32.2,101.35,NA
10.1,5.7,74,9,6,32.2,101.36,NA
9.3,5.7,78,7,3,32.2,101.36,Mainly Clear
9,5.3,77,8,6,32.2,101.37,NA
8.5,4.7,77,8,8,32.2,101.38,NA
7.5,5.3,86,36,2,40.2,101.38,Clear
8.5,5.8,83,36,3,40.2,101.4,NA
10.6,6.1,74,7,5,40.2,101.43,NA
12.3,6.5,68,36,2,40.2,101.44,Mainly Clear
12.9,6.9,67,23,9,40.2,101.47,NA
13.3,8.3,71,25,11,40.2,101.48,NA
13.9,9.8,76,25,14,40.2,101.46,Mainly Clear
14.9,9.7,71,25,14,40.2,101.46,NA
15.6,9.8,68,24,15,40.2,101.46,NA
15.9,9.3,65,24,14,40.2,101.46,Mainly Clear
15.6,8.1,61,24,16,40.2,101.45,NA
16.2,8.7,60,24,14,40.2,101.46,NA
17.3,6.2,48,27,8,40.2,101.46,Mainly Clear
16.6,7,53,19,5,40.2,101.47,NA
16.6,8.3,58,21,17,40.2,101.5,NA
15.3,8.1,62,20,10,40.2,101.55,Mainly Clear
13.9,9.3,73,23,8,40.2,101.61,NA
13.1,9.1,77,1,8,40.2,101.66,NA
12.9,9,77,36,3,32.2,101.68,Mainly Clear
13.1,8.9,76,6,6,32.2,101.69,NA
13.3,8.8,74,8,12,32.2,101.7,NA
12.2,8.9,80,11,10,24.1,101.72,Mostly Cloudy
12.3,9.9,85,11,4,32.2,101.75,Rain
12.2,9,80,10,7,32.2,101.79,NA
12.2,9.2,81,7,15,24.1,101.81,Rain
11.8,9.2,84,10,19,24.1,101.86,NA
11.9,9.7,86,8,13,32.2,101.88,NA
12.4,9.8,84,9,18,48.3,101.91,Mostly Cloudy
13.4,8.6,72,10,21,48.3,101.94,NA
14.6,6.1,57,11,19,48.3,101.94,NA
14.3,5.4,55,16,15,48.3,101.96,Mainly Clear
16,4.5,46,16,7,48.3,101.95,NA
16.4,7.1,54,15,11,48.3,101.93,NA
17.3,7.6,52,18,17,48.3,101.9,Mainly Clear
17.3,6.1,47,20,21,48.3,101.88,NA
17.4,8.2,54,21,18,48.3,101.88,NA
16.9,6.9,51,21,17,48.3,101.88,Mainly Clear
15.6,7.7,59,20,14,48.3,101.88,NA
15.5,7.8,60,26,15,32.2,101.87,NA
14.2,8.6,68,25,9,32.2,101.88,Mainly Clear
13.2,9.4,78,26,9,32.2,101.88,NA
11.9,8.7,81,31,10,24.1,101.88,NA
11.6,7.7,77,36,5,24.1,101.83,Clear
12.2,8.2,76,2,3,24.1,101.77,NA
